Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Eval Days,Max Drawdown,Note,C-Index Type,Quantile,Model,Threshold Value,Baseline Trade Count,Delta Trade Count
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,No Filter,,gbm,,62,0
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,No Filter,,mlp,,88,0
176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,203.44954128440367,218,-13.807377174737034,,No Filter,,rf,,176,0
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_tau_full,0.2,gbm,0.0,62,0
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_tau_full,0.3,gbm,0.0,62,0
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_tau_full,0.4,gbm,0.0,62,0
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_tau_full,0.5,gbm,0.0,62,0
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_tau_ties3,0.2,gbm,0.0,62,0
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_tau_ties3,0.3,gbm,0.0,62,0
46,0.13216171026718054,58.69565217391305,0.10611167060329282,0.7737739266068829,53.174311926605505,218,-6.710658547920723,,C_tau_ties3,0.4,gbm,0.10256410256410256,62,-16
41,0.14962049730486765,60.97560975609756,0.12228969971057725,0.8418870525331175,47.39449541284404,218,-6.710658547920723,,C_tau_ties3,0.5,gbm,0.15384615384615383,62,-21
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_tau_ties5,0.2,gbm,0.0,62,0
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_tau_ties5,0.3,gbm,0.0,62,0
41,0.39169933898333875,63.41463414634146,0.19597811263590578,1.349185058091817,47.39449541284404,218,-4.985441104362032,,C_tau_ties5,0.4,gbm,0.06666666666666665,62,-21
37,0.19771844394888805,64.86486486486487,0.15365495964582895,1.0048921844581609,42.77064220183486,218,-4.985441104362032,,C_tau_ties5,0.5,gbm,0.1333333333333333,62,-25
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_tau_ties10,0.2,gbm,0.0,62,0
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_tau_ties10,0.3,gbm,0.0,62,0
38,0.13414042284255057,60.526315789473685,0.10195783103899406,0.6757474414015647,43.92660550458715,218,-5.791869326048005,,C_tau_ties10,0.4,gbm,0.03157894736842106,62,-24
32,0.281904713037992,68.75,0.21217623595175122,1.2904576407989181,36.99082568807339,218,-4.948568103562678,,C_tau_ties10,0.5,gbm,0.0736842105263158,62,-30
53,0.2932471542628283,60.37735849056604,0.15850540373887684,1.2406635728561404,61.26605504587156,218,-7.55553212690705,,C_RBO_full,0.2,gbm,0.3438685731955077,62,-9
47,0.14740064400492256,61.702127659574465,0.11398917437716506,0.8402036437557169,54.330275229357795,218,-5.791869326048005,,C_RBO_full,0.3,gbm,0.37904114967929814,62,-15
39,0.2152167362489571,66.66666666666666,0.16612972388032968,1.1154540132116575,45.08256880733945,218,-4.139772203795644,,C_RBO_full,0.4,gbm,0.41132429603094434,62,-23
