Model,Cost (bp),Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Eval Days,Max Drawdown,Note,C-Index Type,Quantile,Threshold Value,Baseline Trade Count,Baseline Avg Return,Baseline Win Rate,Baseline Sharpe,Baseline Sharpe Annualized,Baseline Max Drawdown,Delta Trade Count,Delta Avg Return,Delta Win Rate,Delta Sharpe,Delta Sharpe Annualized,Delta MDD,Is Active Filter,Is Positive Sharpe
gbm,0,33,0.33929336173193475,72.72727272727273,0.2761555455403833,1.7056218947437638,38.146788990825684,218,-4.118556573770782,,C_RBO_full,0.5,0.4452730503512067,62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,-6.375406720451338,-29,0.06429952877740314,13.049853372434022,0.11791430263712666,0.36598359991850704,2.2568501466805557,True,True
gbm,5,33,0.2892933617319347,72.72727272727273,0.23545985610355818,1.454272754572356,38.146788990825684,218,-4.518556573770782,,C_RBO_full,0.5,0.4452730503512067,62,0.22499383295453154,59.67741935483871,0.12946946260492884,1.0960622334219527,-6.875406720451338,-29,0.06429952877740316,13.049853372434022,0.10599039349862935,0.3582105211504032,2.3568501466805554,True,True
gbm,10,33,0.23929336173193466,72.72727272727273,0.19476416666673307,1.202923614400948,38.146788990825684,218,-4.918556573770783,,C_RBO_full,0.5,0.4452730503512067,62,0.1749938329545315,59.67741935483871,0.10069768230660103,0.8524861720186488,-7.3754067204513385,-29,0.06429952877740316,13.049853372434022,0.09406648436013204,0.35043744238229924,2.456850146680556,True,True
mlp,0,56,0.3281932355785983,62.5,0.18706160829690507,1.505049213213157,64.73394495412843,218,-6.46149391140014,,C_RBO_full,0.3,0.38465683370083537,88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,-6.5941148256191795,-32,0.0969740969630079,3.4090909090909065,0.043424228935656145,0.05634129930174914,0.13262091421903932,True,True
mlp,5,56,0.27819323557859826,62.5,0.15856290874767162,1.2757560636209988,64.73394495412843,218,-6.761493911400141,,C_RBO_full,0.3,0.38465683370083537,88,0.18121913861559036,59.09090909090909,0.11257650347068283,1.1354319622351208,-6.761493911400141,-32,0.0969740969630079,3.4090909090909065,0.04598640527698879,0.14032410138587803,0.0,True,True
mlp,10,56,0.22819323557859822,62.5,0.1300642091984382,1.0464629140288408,64.73394495412843,218,-7.061493911400141,,C_RBO_full,0.3,0.38465683370083537,88,0.13121913861559031,59.09090909090909,0.08151562758011673,0.8221560105588334,-7.061493911400141,-32,0.0969740969630079,3.4090909090909065,0.04854858161832147,0.22430690347000748,0.0,True,True
rf,0,106,0.3267928436037096,64.15094339622641,0.19991653931032,2.21296059870562,122.53211009174312,218,-11.794827496460858,,C_tau_ties3,0.4,0.05128205128205128,176,0.21576386751223034,58.52272727272727,0.1436985123126898,2.049654354143243,-13.807377174737034,-70,0.11102897609147924,5.628216123499136,0.056218026997630205,0.16330624456237697,2.0125496782761765,True,True
rf,5,106,0.27679284360370954,64.15094339622641,0.16932888367108698,1.8743729212182265,122.53211009174312,218,-12.144827496460858,,C_tau_ties3,0.4,0.05128205128205128,176,0.16576386751223032,58.52272727272727,0.11039856409393986,1.5746780808274476,-14.607377174737035,-70,0.11102897609147921,5.628216123499136,0.05893031957714712,0.29969484039077887,2.4625496782761775,True,True
rf,10,106,0.22679284360370952,64.15094339622641,0.1387412280318539,1.5357852437308324,122.53211009174312,218,-12.494827496460859,,C_tau_ties3,0.4,0.05128205128205128,176,0.11576386751223028,58.52272727272727,0.0770986158751899,1.099701807511652,-15.407377174737036,-70,0.11102897609147924,5.628216123499136,0.061642612156664,0.43608343621918033,2.912549678276177,True,True
