Model,Cost (bp),C-Index Type,Quantile,Observed Best Metric,Raw p,Adjusted p (max-stat),Null Selected Mean,Null Selected 95%,Null Max Mean,Null Max 95%,N Permutations,Block Length Days
gbm,0,C_RBO_full,0.5,0.11791430263712666,0.14492753623188406,0.3548225887056472,0.007314067527257299,0.1813685734757044,0.09684096497047835,0.24634315929438932,2000,20
gbm,5,C_RBO_full,0.5,0.10599039349862935,0.1774112943528236,0.4102948525737131,0.0032419636008206324,0.17541186243035586,0.09455282699658818,0.23666023121695787,2000,20
gbm,10,C_RBO_full,0.5,0.09406648436013204,0.21539230384807595,0.4852573713143428,-0.0008301403256160716,0.1721911070500642,0.09288005333502367,0.23028315117222983,2000,20
mlp,0,C_RBO_full,0.3,0.043424228935656145,0.17891054472763618,0.7071464267866067,-0.013145871137069113,0.08541240166422985,0.08302423983592398,0.19745039055151456,2000,20
mlp,5,C_RBO_full,0.3,0.04598640527698879,0.1744127936031984,0.6976511744127936,-0.014842992529577267,0.08698319208110766,0.08210087449655232,0.19875873780986925,2000,20
mlp,10,C_RBO_full,0.3,0.04854858161832147,0.16691654172913542,0.6891554222888556,-0.01654011392208543,0.0868077982760949,0.08167102696219221,0.19725075961633803,2000,20
rf,0,C_tau_ties3,0.4,0.056218026997630205,0.13943028485757122,0.46676661669165415,-0.003289315276400141,0.08568584043603562,0.05413668973960914,0.14656716295522448,2000,20
rf,5,C_tau_ties3,0.4,0.05893031957714712,0.12343828085957022,0.440279860069965,-0.004184469181669691,0.08438421489250585,0.053074284651866595,0.14344137681201755,2000,20
rf,10,C_tau_ties3,0.4,0.061642612156664,0.11344327836081959,0.41529235382308843,-0.00507962308693924,0.08376963159538126,0.052289008563953715,0.13934192141853433,2000,20
