Model,Asset,C-Index Type,Quantile,Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Max Drawdown,Note
gbm,GLD,C_Mallows_full,0.2,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_Mallows_full,0.3,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_Mallows_full,0.4,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_Mallows_full,0.5,7,0.5147621488381026,71.42857142857143,0.5569285608065011,2.339099955387305,17.64,-0.774034473177565,
gbm,GLD,C_RBO_full,0.2,8,0.0974869293776437,62.5,0.06687213894380614,0.30025515917815876,20.16,-2.823439606845568,
gbm,GLD,C_RBO_full,0.3,7,0.21755886002310376,71.42857142857143,0.14207541391766265,0.5967167384541832,17.64,-2.823439606845568,
gbm,GLD,C_RBO_full,0.4,7,0.21755886002310376,71.42857142857143,0.14207541391766265,0.5967167384541832,17.64,-2.823439606845568,
gbm,GLD,C_RBO_full,0.5,4,0.8959328611216177,100.0,,,10.08,0.0,N=4<5 (소표본 경고: Sharpe 신뢰 불가)
gbm,GLD,C_tau_full,0.2,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_tau_full,0.3,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_tau_full,0.4,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_tau_full,0.5,7,0.5147621488381026,71.42857142857143,0.5569285608065011,2.339099955387305,17.64,-0.774034473177565,
gbm,GLD,C_tau_ties10,0.2,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_tau_ties10,0.3,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_tau_ties10,0.4,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_tau_ties10,0.5,5,0.15205836752818058,80.0,0.09037176529570186,0.3207879441773552,12.600000000000001,-2.823439606845568,
gbm,GLD,C_tau_ties3,0.2,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_tau_ties3,0.3,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_tau_ties3,0.4,7,0.21755886002310376,71.42857142857143,0.14207541391766265,0.5967167384541832,17.64,-2.823439606845568,
gbm,GLD,C_tau_ties3,0.5,6,0.7243919378345491,83.33333333333334,0.8943560338334695,3.477653728398722,15.120000000000001,0.0,
gbm,GLD,C_tau_ties5,0.2,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_tau_ties5,0.3,10,0.12224418057165565,60.0,0.0882498024211558,0.44301049221186684,25.200000000000003,-2.823439606845568,
gbm,GLD,C_tau_ties5,0.4,6,0.38282441555654856,83.33333333333334,0.2381332213091855,0.9259677953888426,15.120000000000001,-2.823439606845568,
