Model,Cost (bp),C-Index Type,Quantile,Delta Sharpe CI Low,Delta Sharpe CI High,Delta Sharpe Boot Mean,Delta Avg Return CI Low,Delta Avg Return CI High,Delta Avg Return Boot Mean,Delta Win Rate CI Low,Delta Win Rate CI High,Delta Win Rate Boot Mean,Delta MDD CI Low,Delta MDD CI High,Delta MDD Boot Mean
gbm,0,C_RBO_full,0.5,-0.12380186454532498,0.6255107117241195,0.18999656870214607,-0.40442761992783777,0.4562730627241279,0.08941594718634636,3.8514059469941793,25.455533596837945,14.168520367393914,0.0,14.191002963458683,4.6035722053414245
gbm,5,C_RBO_full,0.5,-0.13960623952900175,0.6068274910023832,0.17773533104332437,-0.40442761992783777,0.4562730627241279,0.08941594718634636,3.8514059469941793,25.455533596837945,14.168520367393914,0.0,14.995999310804526,5.031924486252243
gbm,10,C_RBO_full,0.5,-0.15678618690358018,0.5837862838400877,0.16547409338450272,-0.40442761992783777,0.4562730627241279,0.08941594718634636,3.8514059469941793,25.455533596837945,14.168520367393914,0.0,16.092757399847205,5.499695078511903
mlp,0,C_RBO_full,0.3,-0.1121698161766062,0.20361741349473655,0.03229214610327024,-0.15320918390378183,0.2732823412417452,0.05945793397041792,-6.074357269503547,8.815024643178749,1.611356270190574,-0.3758119781633873,9.296522804340768,2.4268282719682124
mlp,5,C_RBO_full,0.3,-0.11035164249482536,0.19734977959719005,0.033118856854789304,-0.1532091839037818,0.2732823412417452,0.059457933970417924,-6.074357269503547,8.815024643178749,1.611356270190574,-0.47314829302392714,9.546522804340768,2.6035797175412383
mlp,10,C_RBO_full,0.3,-0.10931329238697436,0.1899004287191718,0.033945567606308374,-0.1532091839037818,0.2732823412417452,0.059457933970417924,-6.074357269503547,8.815024643178749,1.611356270190574,-0.6668094197229839,9.999144747042173,2.8124827724762427
rf,0,C_tau_ties3,0.4,-0.03723892219901146,0.16170689075313888,0.039334131606033655,-0.04495944946072604,0.22004170117045518,0.06100175127156487,-0.7233658141286781,10.048514302153533,3.2176949809907116,0.0,15.142893155269475,3.6350447282148735
rf,5,C_tau_ties3,0.4,-0.036003928294853355,0.1598338520540514,0.04000805980009401,-0.04495944946072604,0.22004170117045518,0.061001751271564875,-0.7233658141286781,10.048514302153533,3.2176949809907116,0.0,16.859755405629045,4.233614477374367
rf,10,C_tau_ties3,0.4,-0.03437788315071984,0.15841744667938795,0.04068198799415435,-0.044959449460726095,0.22004170117045513,0.061001751271564875,-0.7233658141286781,10.048514302153533,3.2176949809907116,0.0,18.816591231087624,4.894304589892155
