Model,Cost (bp),Candidate_Count,Active_Candidates,Positive_Active_Candidates,Mean_Delta_Sharpe,Median_Delta_Sharpe,Best_Delta_Sharpe,Worst_Delta_Sharpe,Mean_Delta_Avg_Return,Best_Delta_Avg_Return
gbm,0,24,10,5,0.0010223303371057733,0.0,0.11791430263712666,-0.056283411864262584,-0.019480637787993995,0.11670550602880714
gbm,5,24,10,4,-0.0022188185955047466,0.0,0.10599039349862935,-0.06551577262886729,-0.019480637787993978,0.11670550602880722
gbm,10,24,10,4,-0.00545996752811527,0.0,0.09406648436013204,-0.07487528034910254,-0.019480637787993978,0.11670550602880722
mlp,0,24,11,5,-0.008319046743312433,0.0,0.043424228935656145,-0.15840201361590722,-0.009115130461170224,0.0969740969630079
mlp,5,24,11,7,-0.008733555543227958,0.0,0.04598640527698879,-0.16701515791646498,-0.009115130461170224,0.0969740969630079
mlp,10,24,11,7,-0.009148064343143471,0.0,0.04854858161832147,-0.1756283022170227,-0.009115130461170226,0.0969740969630079
rf,0,24,9,8,0.00918713998972569,0.0,0.056218026997630205,-0.0005997932863509303,0.02166825443630106,0.11102897609147924
rf,5,24,9,8,0.010061874458293324,0.0,0.05893031957714712,-0.003867250889518545,0.02166825443630105,0.11102897609147921
rf,10,24,9,8,0.010936608926860958,0.0,0.061642612156664,-0.007134708492686159,0.02166825443630105,0.11102897609147924
