Model,Asset,C-Index Type,Quantile,Baseline Win Rate,Win Rate,Delta Win Rate,Baseline Avg Return,Avg Return,Delta Avg Return,Baseline Sharpe,Sharpe,Delta Sharpe,Baseline Max Drawdown,Max Drawdown,Delta MDD,Baseline Trade Count,Trade Count,Delta Trade Count,Note
gbm,GLD,C_tau_ties3,0.5,60.0,83.33333333333334,23.333333333333343,0.12224418057165565,0.7243919378345491,0.6021477572628935,0.0882498024211558,0.8943560338334695,0.8061062314123137,-2.823439606845568,0.0,2.823439606845568,10,6,-4,
gbm,SPY,C_RBO_full,0.5,56.75675675675676,68.42105263157895,11.664295874822187,0.23949394664338014,0.29452288312901964,0.0550289364856395,0.1156105799951692,0.22099796548036135,0.10538738548519215,-7.25164508721825,-2.9556266227273476,4.296018464490903,37,19,-18,
gbm,TLT,C_tau_ties10,0.5,66.66666666666666,88.88888888888889,22.22222222222223,0.4643933207772891,0.8653330970813913,0.40093977630410216,0.5092116515271895,1.2896467665616091,0.7804351150344196,-0.7975052308085928,-0.4639311694068837,0.3335740614017091,15,9,-6,
mlp,GLD,C_tau_ties10,0.5,66.66666666666666,81.81818181818183,15.15151515151517,0.23556732024396293,0.6554530459608188,0.41988572571685584,0.16196793908609067,0.6902611406218707,0.5282932015357801,-2.823439606845568,-1.447901799294371,1.375537807551197,18,11,-7,
mlp,SPY,C_Mallows_full,0.5,58.69565217391305,65.21739130434783,6.521739130434781,0.32707048994287696,0.2854020792338343,-0.04166841070904265,0.17236362726712715,0.21419685261941526,0.04183322535228812,-6.46149391140014,-5.101780291448765,1.3597136199513749,46,23,-23,
mlp,TLT,C_tau_ties5,0.5,54.166666666666664,60.0,5.833333333333336,0.044242912350345165,-0.07239713264373115,-0.11664004499407632,0.04146483952954318,-0.06302589294432688,-0.10449073247387006,-5.939795973489481,-3.5930769048542643,2.346719068635217,24,10,-14,
rf,GLD,C_tau_ties10,0.5,73.91304347826086,75.0,1.0869565217391397,0.6184473841712704,0.634969590059431,0.016522205888160557,0.45814180595501397,0.48634518218878264,0.028203376233768673,-4.590683357262471,-5.640516053558908,-1.0498326962964377,46,24,-22,
rf,SPY,C_tau_ties3,0.4,55.223880597014926,65.0,9.776119402985074,0.07313881476097986,0.39253661598035006,0.3193978012193702,0.03813592381565456,0.17417786528722473,0.13604194147157017,-13.727980168878151,-10.333723377700377,3.3942567911777743,67,40,-27,
rf,TLT,C_tau_ties5,0.5,50.79365079365079,59.375,8.58134920634921,0.07342159398870562,0.1977129673635697,0.12429137337486407,0.07483261653800728,0.2140286948557167,0.13919607831770942,-4.382757031620876,-2.6514990994845,1.7312579321363764,63,32,-31,
