Model,Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Eval Days,Max Drawdown,Note,C-Index Type,Quantile,Threshold Value
gbm,33,0.33929336173193475,72.72727272727273,0.2761555455403833,1.7056218947437638,38.146788990825684,218,-4.118556573770782,,C_RBO_full,0.5,0.4452730503512067
mlp,56,0.3281932355785983,62.5,0.18706160829690507,1.505049213213157,64.73394495412843,218,-6.46149391140014,,C_RBO_full,0.3,0.38465683370083537
rf,106,0.3267928436037096,64.15094339622641,0.19991653931032,2.21296059870562,122.53211009174312,218,-11.794827496460858,,C_tau_ties3,0.4,0.05128205128205128
