Cost (bp),Model,Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Eval Days,Max Drawdown,Note,C-Index Type,Quantile,Threshold Value
0,gbm,33,0.33929336173193475,72.72727272727273,0.2761555455403833,1.7056218947437638,38.146788990825684,218,-4.118556573770782,,C_RBO_full,0.5,0.4452730503512067
0,mlp,56,0.3281932355785983,62.5,0.18706160829690507,1.505049213213157,64.73394495412843,218,-6.46149391140014,,C_RBO_full,0.3,0.38465683370083537
0,rf,106,0.3267928436037096,64.15094339622641,0.19991653931032,2.21296059870562,122.53211009174312,218,-11.794827496460858,,C_tau_ties3,0.4,0.05128205128205128
5,gbm,33,0.2892933617319347,72.72727272727273,0.23545985610355818,1.454272754572356,38.146788990825684,218,-4.518556573770782,,C_RBO_full,0.5,0.4452730503512067
5,mlp,56,0.27819323557859826,62.5,0.15856290874767162,1.2757560636209988,64.73394495412843,218,-6.761493911400141,,C_RBO_full,0.3,0.38465683370083537
5,rf,106,0.27679284360370954,64.15094339622641,0.16932888367108698,1.8743729212182265,122.53211009174312,218,-12.144827496460858,,C_tau_ties3,0.4,0.05128205128205128
10,gbm,33,0.23929336173193466,72.72727272727273,0.19476416666673307,1.202923614400948,38.146788990825684,218,-4.918556573770783,,C_RBO_full,0.5,0.4452730503512067
10,mlp,56,0.22819323557859822,62.5,0.1300642091984382,1.0464629140288408,64.73394495412843,218,-7.061493911400141,,C_RBO_full,0.3,0.38465683370083537
10,rf,106,0.22679284360370952,64.15094339622641,0.1387412280318539,1.5357852437308324,122.53211009174312,218,-12.494827496460859,,C_tau_ties3,0.4,0.05128205128205128
