Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Eval Days,Max Drawdown,Note,C-Index Type,Quantile,Threshold Value,Cost (bp),Baseline Trade Count,Baseline Avg Return,Baseline Win Rate,Baseline Sharpe,Baseline Sharpe Annualized,Baseline Max Drawdown,Delta Trade Count,Delta Avg Return,Delta Win Rate,Delta Sharpe,Delta Sharpe Annualized,Delta MDD,Is Active Filter,Is Positive Sharpe,Model
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_full,0.2,0.0,0,63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,-6.375397025120844,0,0.0,0.0,0.0,0.0,0.0,False,False,gbm
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_full,0.3,0.0,0,63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,-6.375397025120844,0,0.0,0.0,0.0,0.0,0.0,False,False,gbm
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_full,0.4,0.0,0,63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,-6.375397025120844,0,0.0,0.0,0.0,0.0,0.0,False,False,gbm
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_full,0.5,0.0,0,63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,-6.375397025120844,0,0.0,0.0,0.0,0.0,0.0,False,False,gbm
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_ties3,0.2,0.0,0,63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,-6.375397025120844,0,0.0,0.0,0.0,0.0,0.0,False,False,gbm
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_ties3,0.3,0.0,0,63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,-6.375397025120844,0,0.0,0.0,0.0,0.0,0.0,False,False,gbm
45,0.26199204754622823,60.0,0.13382378015379445,0.9651872444829476,52.01834862385321,218,-6.710680538107283,,C_tau_ties3,0.4,0.10256410256410256,0,63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,-6.375397025120844,-18,0.00861458751863553,1.2698412698412653,-0.012446260076350302,-0.28305155890890965,-0.33528351298643955,True,False,gbm
41,0.3467192288856805,60.97560975609756,0.17801428884275444,1.2255155200912067,47.39449541284404,218,-6.710680538107283,,C_tau_ties3,0.5,0.15384615384615383,0,63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,-6.375397025120844,-22,0.09334176885808781,2.245451025938827,0.03174424861260969,-0.022723283300650543,-0.33528351298643955,True,True,gbm
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_ties5,0.2,0.0,0,63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,-6.375397025120844,0,0.0,0.0,0.0,0.0,0.0,False,False,gbm
63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,72.82568807339449,218,-6.375397025120844,,C_tau_ties5,0.3,0.0,0,63,0.2533774600275927,58.730158730158735,0.14627004023014475,1.2482388033918572,-6.375397025120844,0,0.0,0.0,0.0,0.0,0.0,False,False,gbm
