Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Eval Days,Max Drawdown,Note,Model,C-Index Type,Quantile,Baseline Trade Count,Delta Trade Count
39,-0.0186074340129029,56.41025641025641,-0.0147646342546583,-0.0991350021434119,45.08256880733945,218,-9.322878022338,,mlp,C_RBO_full,0.5,88,-49
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_Mallows_full,0.2,88,0
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_Mallows_full,0.3,88,0
88,0.2312191386155904,59.09090909090909,0.1436373793612489,1.448707913911408,101.72477064220185,218,-6.5941148256191795,,mlp,C_Mallows_full,0.4,88,0
41,0.2063653828253464,60.97560975609756,0.1663757873996197,1.1453918163037844,47.39449541284404,218,-7.2008869418285215,,mlp,C_Mallows_full,0.5,88,-47
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_full,0.2,176,0
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_full,0.3,176,0
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_full,0.4,176,0
85,0.2605616447173579,55.294117647058826,0.1504382483474788,1.4912132518764347,98.25688073394495,218,-11.171942647706512,,rf,C_tau_full,0.5,176,-91
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_ties3,0.2,176,0
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_ties3,0.3,176,0
106,0.3267928436037096,64.15094339622641,0.19991653931032,2.21296059870562,122.53211009174312,218,-11.794827496460858,,rf,C_tau_ties3,0.4,176,-70
103,0.3072143475329552,63.10679611650486,0.1857085437307583,2.026387605221896,119.06422018348624,218,-11.794827496460858,,rf,C_tau_ties3,0.5,176,-73
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_ties5,0.2,176,0
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_ties5,0.3,176,0
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_ties5,0.4,176,0
95,0.1956643024162371,61.05263157894737,0.1430987190263388,1.4995797678693572,109.81651376146787,218,-11.420455771746418,,rf,C_tau_ties5,0.5,176,-81
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_ties10,0.2,176,0
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_ties10,0.3,176,0
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_ties10,0.4,176,0
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_tau_ties10,0.5,176,0
140,0.2278573569578596,60.0,0.1468668605912956,1.8683569547084145,161.8348623853211,218,-14.838796338952244,,rf,C_RBO_full,0.2,176,-36
127,0.2659276143705759,60.629921259842526,0.1688191747090737,2.0454819755007763,146.80733944954127,218,-13.57908881535721,,rf,C_RBO_full,0.3,176,-49
107,0.3223566319033378,63.55140186915887,0.1972897797166999,2.1941610448904587,123.6880733944954,218,-12.079940336098982,,rf,C_RBO_full,0.4,176,-69
90,0.2949765278619074,63.33333333333333,0.1712018567881805,1.7462312215035245,104.0366972477064,218,-11.420455771746418,,rf,C_RBO_full,0.5,176,-86
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_Mallows_full,0.2,176,0
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_Mallows_full,0.3,176,0
176,0.2157638675122303,58.52272727272727,0.1436985123126898,2.049654354143243,203.4495412844037,218,-13.807377174737034,,rf,C_Mallows_full,0.4,176,0
85,0.2605616447173579,55.294117647058826,0.1504382483474788,1.4912132518764347,98.25688073394495,218,-11.171942647706512,,rf,C_Mallows_full,0.5,176,-91
