Model,Asset,C-Index Type,Quantile,Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Max Drawdown,Note
gbm,GLD,C_tau_ties3,0.5,6,0.7243919378345491,83.33333333333334,0.8943560338334695,3.477653728398722,15.120000000000001,0.0,
gbm,SPY,C_RBO_full,0.5,19,0.29452288312901964,68.42105263157895,0.22099796548036135,1.6394784788036392,55.03448275862069,-2.9556266227273476,
gbm,TLT,C_tau_ties10,0.5,9,0.8653330970813913,88.88888888888889,1.2896467665616091,6.1417523221930574,22.68,-0.4639311694068837,
mlp,GLD,C_tau_ties10,0.5,11,0.6554530459608188,81.81818181818183,0.6902611406218707,3.634210156174549,27.720000000000002,-1.447901799294371,
mlp,SPY,C_Mallows_full,0.5,23,0.2854020792338343,65.21739130434783,0.21419685261941526,1.7483068016722163,66.62068965517241,-5.101780291448765,
mlp,TLT,C_tau_ties5,0.5,10,-0.07239713264373115,60.0,-0.06302589294432688,-0.316387471578806,25.200000000000003,-3.5930769048542643,
rf,GLD,C_tau_ties10,0.5,24,0.634969590059431,75.0,0.48634518218878264,3.782252418822515,60.480000000000004,-5.640516053558908,
rf,SPY,C_tau_ties3,0.4,40,0.39253661598035006,65.0,0.17417786528722473,1.8748373779611696,115.86206896551724,-10.333723377700377,
rf,TLT,C_tau_ties5,0.5,32,0.1977129673635697,59.375,0.2140286948557167,1.921972913012348,80.64,-2.6514990994845,
