Cost (bp),Model,C-Index Type,Quantile,Baseline Trade Count,Trade Count,Delta Trade Count,Baseline Avg Return,Avg Return,Delta Avg Return,Baseline Win Rate,Win Rate,Delta Win Rate,Baseline Sharpe,Sharpe,Delta Sharpe,Baseline Sharpe Annualized,Sharpe_annualized,Delta Sharpe Annualized,Baseline Max Drawdown,Max Drawdown,Delta MDD,Annual Trades,Eval Days,Note
0,gbm,C_RBO_full,0.5,62,33,-29,0.2749938329545316,0.33929336173193475,0.06429952877740314,59.67741935483871,72.72727272727273,13.049853372434022,0.15824124290325664,0.2761555455403833,0.11791430263712666,1.3396382948252568,1.7056218947437638,0.36598359991850704,-6.375406720451338,-4.118556573770782,2.2568501466805557,38.146788990825684,218,
0,mlp,C_RBO_full,0.3,88,56,-32,0.2312191386155904,0.3281932355785983,0.0969740969630079,59.09090909090909,62.5,3.4090909090909065,0.14363737936124893,0.18706160829690507,0.043424228935656145,1.4487079139114079,1.505049213213157,0.05634129930174914,-6.5941148256191795,-6.46149391140014,0.13262091421903932,64.73394495412843,218,
0,rf,C_tau_ties3,0.4,176,106,-70,0.21576386751223034,0.3267928436037096,0.11102897609147924,58.52272727272727,64.15094339622641,5.628216123499136,0.1436985123126898,0.19991653931032,0.056218026997630205,2.049654354143243,2.21296059870562,0.16330624456237697,-13.807377174737034,-11.794827496460858,2.0125496782761765,122.53211009174312,218,
5,gbm,C_RBO_full,0.5,62,33,-29,0.22499383295453154,0.2892933617319347,0.06429952877740316,59.67741935483871,72.72727272727273,13.049853372434022,0.12946946260492884,0.23545985610355818,0.10599039349862935,1.0960622334219527,1.454272754572356,0.3582105211504032,-6.875406720451338,-4.518556573770782,2.3568501466805554,38.146788990825684,218,
5,mlp,C_RBO_full,0.3,88,56,-32,0.18121913861559036,0.27819323557859826,0.0969740969630079,59.09090909090909,62.5,3.4090909090909065,0.11257650347068283,0.15856290874767162,0.04598640527698879,1.1354319622351208,1.2757560636209988,0.14032410138587803,-6.761493911400141,-6.761493911400141,0.0,64.73394495412843,218,
5,rf,C_tau_ties3,0.4,176,106,-70,0.16576386751223032,0.27679284360370954,0.11102897609147921,58.52272727272727,64.15094339622641,5.628216123499136,0.11039856409393986,0.16932888367108698,0.05893031957714712,1.5746780808274476,1.8743729212182265,0.29969484039077887,-14.607377174737035,-12.144827496460858,2.4625496782761775,122.53211009174312,218,
10,gbm,C_RBO_full,0.5,62,33,-29,0.1749938329545315,0.23929336173193466,0.06429952877740316,59.67741935483871,72.72727272727273,13.049853372434022,0.10069768230660103,0.19476416666673307,0.09406648436013204,0.8524861720186488,1.202923614400948,0.35043744238229924,-7.3754067204513385,-4.918556573770783,2.456850146680556,38.146788990825684,218,
10,mlp,C_RBO_full,0.3,88,56,-32,0.13121913861559031,0.22819323557859822,0.0969740969630079,59.09090909090909,62.5,3.4090909090909065,0.08151562758011673,0.1300642091984382,0.04854858161832147,0.8221560105588334,1.0464629140288408,0.22430690347000748,-7.061493911400141,-7.061493911400141,0.0,64.73394495412843,218,
10,rf,C_tau_ties3,0.4,176,106,-70,0.11576386751223028,0.22679284360370952,0.11102897609147924,58.52272727272727,64.15094339622641,5.628216123499136,0.0770986158751899,0.1387412280318539,0.061642612156664,1.099701807511652,1.5357852437308324,0.43608343621918033,-15.407377174737036,-12.494827496460859,2.912549678276177,122.53211009174312,218,
